,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success,family,house,tradition,history,reputation,proud,empire,son,grandson,sister,brother,parent,father,grandfather
AlkaIndia,,,,,,,,,,,,,,,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,,,,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,,,,,,,,,,,,,,,
AsianPaints,"<begin>C. Risks and Concerns

The risks associated with the paints industry are similar
to those impacting other industries that are mature and
well established.<end>","<begin>Investments in pollution abatement are significant and
especially so when facilities have to be expanded or
newly established.<end><begin>CAPACITY EXPANSION
The rationalisation of processes and work practices and
further investments in the pollution control equipments
under taken a t our p lan ts a t Pa tancheru in Andhra
Pradesh and at Ankleshwar in Gujarat have enabled
the Company to rea l ise h igher product ion from the
existing production related plant and machinery.<end><begin>PENTASIA INVESTMENTS LIMITED

Pen tas ia Inves tmen ts L im i ted reco rded a p ro f i t o f
Rs.<end><begin>These shares are being held by the nominee of Pentasia
Investments Limited as per the orders of the BIFR.<end><begin>The
Investment Company has repaid Rs.<end><begin>F. Asian Paints (South Pacific) Holdings Limited
A wholly owned subsidiary (WOS) was incorporated on
7th September, 2000 in Vanuatu to channel investments
in the south pacific region.<end><begin>G. Asian Paints (International) Limited
The Company formed a wholly owned subsidiary (WOS)
on 3rd September, 1999 in Mauritius to channel the
overseas investments.<end>",,"<begin>The Company has a Joint Venture with
PPG Industries, Inc., of the USA, Asian PPG Industries
Ltd., that deals with the Auto OE, Auto Refinish and the
I n d u s t r i a l O E m a r k e t s .<end><begin>JOINT VENTURE WITH PPG INDUSTRIES, INC.<end><begin>In these depressed
conditions, the joint venture Company has recorded
satisfactory growth in sales and profits.<end>",,,,,"<begin>The subsidiary issued 360,000 redeemable preference
shares of the face value of A$ 1 each to Asian Paints
(South Pacific) Holdings Ltd., and utilised this fund to
acquire the business of M/s.<end><begin>During this period, the WOS borrowed US $ 855,000
from your Company and acquired 76% stake in Asian
Paints (Lanka) Limited (formerly Delmege Forsyth &
Co. (Paints) Ltd.) in Sri Lanka.<end>",,,"<begin>While the monsoon was considered as normal
for the th ir teen th success ive year , the agr icu l tura l
production suffered due to unfavourable distribution of
r a i n f a l l o v e r t im e a n d r e g i o n s .<end>",,,"<begin>As the market develops, customers are demanding
products superior to the traditional low cost coatings,
branded products and greater choice.<end>",,,,,"<begin>c) Due to the drop in demand after Diwali, that is from
Novembe r /Decembe r , the scope ava i lab le fo r
s h a r p r e d u c t i o n i n c o s t s w a s l im i t e d ; m o s t
promotional and other marketing expenditure is
incurred in the run up to the season.<end><begin>This had given the subsidiary,
local manufacturing facility and a reasonable presence
in the local market to the tune of A$ 1 million per annum.<end><begin>The accounting policies have been selected and
app l ied cons is ten t ly and the judgemen ts and
estimates made, are reasonable and prudent, so
as to give a true and fair view of the state of affairs of
the Company at the end of the financial year and of
the profit or loss of the Company for that period.<end>",,,,,,
BhorukaAluminium,,,,,,,,,,,,,,,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,,,,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,,,,,,,,,,,,,,,
GodrejIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestmentandPrecisionCastings,,,,,,,,,,,,,,,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
JagsonpalPharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,
JayKayEnterprises,,,,,,,,,,,,,,,,,,,,,,,,,,
JindalPolyFilms,,,,,,,,,,,,,,,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,,,,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,,,,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,,,,,,,,,,,,,,,
SanghviMovers,,,,,,,,,,,,,,,,,,,,,,,,,,
ShantivijayJewels,,,,,,,,,,,,,,,,,,,,,,,,,,
SimmondsMarshall,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent,,,,,,,,,,,,,,,,,,,,,,,,,,
