,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success
AlkaIndia,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,
AsianPaints,<begin>C. Risks and Concerns The risks associated with the paints industry are similar to those impacting other industries that are mature and well established.<end><begin>Loss of profit risk for the financial year 2000-2002 is self insured.<end>,"<begin>Investments in pollution abatement are significant and especially so when facilities have to be expanded or newly established.<end><begin>CAPACITY EXPANSION The rationalisation of processes and work practices and further investments in the pollution control equipments undertaken at our plants at Patancheru in Andhra Pradesh and at Ankleshwar in Gujarat have enabled the Company to realise higher production from the existing production related plant and machinery.<end><begin>PENTASIA INVESTMENTS LIMITED Pentasia Investments Limited recorded a profit of Rs.<end><begin>These shares are being held by the nominee of Pentasia Investments Limited as per the orders of the BIFR.<end><begin>The Investment Company has repaid Rs.<end><begin>F. Asian Paints (South Pacific) Holdings Limited A wholly owned subsidiary (WOS) was incorporated on 7th September, 2000 in Vanuatu to channel investments in the south pacific region.<end><begin>G. Asian Paints (International) Limited The Company formed a wholly owned subsidiary (WOS) on 3rd September, 1999 in Mauritius to channel the overseas investments.<end><begin>He specialises in a broad spectrum of Corporate Laws in general, with special focus on Foreign Investments, Joint Ventures, Technology and Licence Agreement, Intellectual Property Rights, Mergers and Acquisitions, Industrial Licensing, Anti Trust Laws, Company Law and Taxation.<end>",,"<begin>The Company has a Joint Venture with PPG Industries, Inc., of the USA, Asian PPG Industries Ltd., that deals with the Auto OE, Auto Refinish and the Industrial OE markets.<end><begin>JOINT VENTURE WITH PPG INDUSTRIES, INC.<end><begin>In these depressed conditions, the joint venture Company has recorded satisfactory growth in sales and profits.<end><begin>He specialises in a broad spectrum of Corporate Laws in general, with special focus on Foreign Investments, Joint Ventures, Technology and Licence Agreement, Intellectual Property Rights, Mergers and Acquisitions, Industrial Licensing, Anti Trust Laws, Company Law and Taxation.<end>",,,,,"<begin>The subsidiary issued 360,000 redeemable preference shares of the face value of A$ 1 each to Asian Paints (South Pacific) Holdings Ltd., and utilised this fund to acquire the business of M/s.<end><begin>During this period, the WOS borrowed US $ 855,000 from your Company and acquired 76% stake in Asian Paints (Lanka) Limited (formerly Delmege Forsyth & Co. (Paints) Ltd.) in Sri Lanka.<end>",,,"<begin>While the monsoon was considered as normal for the thirteenth successive year, the agricultural production suffered due to unfavourable distribution of rainfall over time and regions.<end>"
BhorukaAluminium,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,
GodrejIndustries,,,,,,,,,,,,
InvestmentandPrecisionCastings,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,
JagsonpalPharmaceuticals,,,,,,,,,,,,
JayKayEnterprises,,,,,,,,,,,,
JindalPolyFilms,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,
SanghviMovers,,,,,,,,,,,,
ShantivijayJewels,,,,,,,,,,,,
SimmondsMarshall,,,,,,,,,,,,
Trent,,,,,,,,,,,,
